Comapay,Position,Primary Skill,Location,Experience,Other Skills,Date
Luxoft,Cloud Engineer,Cloud,Hyderabad,6-10,"['Cloud', 'Python', 'OpenShift']",01-12-2023
OrangeMantra,Python Developer,Python,Bangalore,3-8,"['Python', 'Django', 'Flask']",27-11-2023
Revolancer LTD,Software Developer,Java,Hyderabad,1-9,"['Java', 'Python', 'Node.js']",01-12-2023
Kanary Staffing Pvt. Ltd.,Azure Data Engineer/Lead Engineer,Azure,Anywhere in India/Multiple Locations,5-12,"['Azure', 'Python', 'SQL']",30-11-2023
Azul Systems India Pvt Ltd,Software Quality Engineer,SDET,Anywhere in India/Multiple Locations,3-5,"['SDET', 'Java', 'Software Quality Assurance']",30-11-2023
Jobtrix,Software Development Engineer I/II/III,Python,Bangalore,4-6,"['Python', 'Microservices Architecture', 'Java']",29-11-2023
Trendlyne,Software Engineer/Senior Engineer,Python,Bangalore,2-8,"['Python', 'Django']",29-11-2023
Trendlyne,Lead Full Stack Engineer,Full Stack,Noida,4-12,"['Full Stack', 'Python', 'Django']",29-11-2023
Acumont Solutions Private Limited,SOA Engineer,SOA,Bangalore,3-8,"['SOA', 'PHP', 'Node.js']",29-11-2023
IBM,AI Engineer,Artificial Intelligence,Gurgaon/Gurugram,1-10,"['Artificial Intelligence', 'NLP', 'Python']",30-11-2023
Expedient Healthcare Marketing Pvt. Ltd.,Data Scientist,Python,Pune,2-4,"['Python', 'SQL', 'Machine Learning']",29-11-2023
Capgemini,AWS/Python Developer,AWS,Gurgaon/Gurugram,5-10,"['AWS', 'Python', 'CloudFormation']",16-11-2023
FabHotels,Machine Learning Engineer,Machine Learning,Gurgaon/Gurugram,3-5,"['Machine Learning', 'Artificial Intelligence', 'Python']",23-11-2023
CollegeDekho,Senior Data Scientist,Data Analytics,Delhi NCR,5-8,"['Data Analytics', 'Data Scientist', 'Python']",17-11-2023
Magicpin,Backend Developer,Python,Gurgaon/Gurugram,1-4,"['Python', 'Java', 'Data Structure']",06-11-2023
WedMeGood,Software Development Engineer III/Backend Developer/Technical Architect,Python,Anywhere in India/Multiple Locations,5-10,"['Python', 'Java', 'C++']",03-11-2023
Finoit Technologies,Python Engineer,Python,Anywhere in India/Multiple Locations,2-5,"['Python', 'Django', 'MySQL']",30-11-2023
Finoit Technologies,Python Engineer,Python,Any Location,3-5,"['Python', 'Django', 'MySQL']",30-11-2023
HCL Technologies,Python Developer,Python,Bangalore,3-6,"['Python', 'Django', 'Flask']",30-11-2023
Minions Ventures Pvt Ltd,Python Developer,Machine Learning,Bangalore,4-6,"['Machine Learning', 'Data Science', 'Python']",17-11-2023
Minions Ventures Pvt Ltd,Python Developer,Python,Mumbai,4-6,"['Python', 'Machine Learning', 'Data Pipeline']",09-11-2023
exponentia,GCP Data Engineer,Google Cloud Platform,Bangalore,3-6,"['Google Cloud Platform', 'BigQuery', 'SQL']",01-12-2023
Robosoft Technologies,Senior Data Analyst,Python,Bangalore,5-10,"['Python', 'SQL', 'Data Analytics']",01-12-2023
Robosoft Technologies,Senior Data Analyst,Data Analyst,Gurgaon/Gurugram,10-15,"['Data Analyst', 'SQL', 'Python']",29-11-2023
CoverStack Technologies,Senior Backend Developer,Python,Bangalore,5-10,"['Python', 'Django', 'SQL']",29-11-2023
Minions Ventures Pvt Ltd,Software Development Engineer II,Python,Trivandrum/Thiruvananthapuram,4-5,"['Python', 'Microservices Architecture', 'Machine Learning']",24-11-2023
Beato,Data Analyst/Senior Data Analyst,Data Analytics,Gurgaon/Gurugram,0-6,"['Data Analytics', 'Data Analyst', 'Machine Learning']",27-11-2023
AppsforBharat,Product Analyst,MySQL,Chennai,1-5,"['MySQL', 'Product Analyst', 'SQL']",22-11-2023
Chalo,Data Analyst,Data Analyst,Cochin/Kochi,3-15,"['Data Analyst', 'Data Analytics', 'Python']",22-11-2023
Trademo,Senior Backend Engineer,Python,Mumbai,2-6,"['Python', 'Django', 'ElasticSearch']",22-11-2023
M2P Fintech,Data Engineer,Python,Jaipur,1-4,"['Python', 'Big Data', 'Scala']",17-11-2023
Entri.app,Backend Developer,API,Anywhere in India/Multiple Locations,1-3,"['API', 'Python', 'Django']",10-11-2023
IDFY,Senior Full Stack Engineer,Full Stack,Gurgaon/Gurugram,3-6,"['Full Stack', 'MERN Stack', 'Python']",09-11-2023
Aricent,Python Developer,Python,Mumbai,2-18,"['Python', 'Backend Architecture', 'Frontend Architecture']",01-12-2023
Dotflick Solutions,Python Developer,Python,Anywhere in India/Multiple Locations,2-10,"['Python', 'Django', 'Flask']",01-12-2023
